id;created_at;Proteina;TipoCocionProteina;Complemento;Descripcion
221;2025-08-24;Pollo;A la Parmesana; con Macarrones salsa roja y Ensalada de repollo con zanahoria;Pollo A la Parmesana  con Macarrones salsa roja y Ensalada de repollo con zanahoria
222;2025-08-24;Pollo;A la Parmesana; con Macarrones salsa roja y Tajadas;Pollo A la Parmesana  con Macarrones salsa roja y Tajadas
223;2025-08-24;Pollo;A la Parmesana; con Macarrones salsa roja y Brochettas de tomate;Pollo A la Parmesana  con Macarrones salsa roja y Brochettas de tomate
224;2025-08-24;Pollo;A la Parmesana; con Macarrones salsa roja y Pan de ajo;Pollo A la Parmesana  con Macarrones salsa roja y Pan de ajo
225;2025-08-24;Pollo;A la Parmesana; con Macarrones salsa roja;Pollo A la Parmesana  con Macarrones salsa roja
226;2025-08-24;Pollo;A la Parmesana; con Macarrones salsa blanca y Ensalada de papa;Pollo A la Parmesana  con Macarrones salsa blanca y Ensalada de papa
227;2025-08-24;Pollo;A la Parmesana; con Macarrones salsa blanca y Ensalada de repollo con zanahoria;Pollo A la Parmesana  con Macarrones salsa blanca y Ensalada de repollo con zanahoria
228;2025-08-24;Pollo;A la Parmesana; con Macarrones salsa blanca y Tajadas;Pollo A la Parmesana  con Macarrones salsa blanca y Tajadas
229;2025-08-24;Pollo;A la Parmesana; con Macarrones salsa blanca y Brochettas de tomate;Pollo A la Parmesana  con Macarrones salsa blanca y Brochettas de tomate
230;2025-08-24;Pollo;A la Parmesana; con Macarrones salsa blanca y Pan de ajo;Pollo A la Parmesana  con Macarrones salsa blanca y Pan de ajo
231;2025-08-24;Pollo;A la Parmesana; con Macarrones salsa blanca;Pollo A la Parmesana  con Macarrones salsa blanca
232;2025-08-24;Pollo;A la Parmesana; con Pasta en salsa roja y Ensalada de papa;Pollo A la Parmesana  con Pasta en salsa roja y Ensalada de papa
233;2025-08-24;Pollo;A la Parmesana; con Pasta en salsa roja y Ensalada de repollo con zanahoria;Pollo A la Parmesana  con Pasta en salsa roja y Ensalada de repollo con zanahoria
234;2025-08-24;Pollo;A la Parmesana; con Pasta en salsa roja y Tajadas;Pollo A la Parmesana  con Pasta en salsa roja y Tajadas
235;2025-08-24;Pollo;A la Parmesana; con Pasta en salsa roja y Brochettas de tomate;Pollo A la Parmesana  con Pasta en salsa roja y Brochettas de tomate
236;2025-08-24;Pollo;A la Parmesana; con Pasta en salsa roja y Pan de ajo;Pollo A la Parmesana  con Pasta en salsa roja y Pan de ajo
237;2025-08-24;Pollo;A la Parmesana; con Pasta en salsa roja;Pollo A la Parmesana  con Pasta en salsa roja
238;2025-08-24;Pollo;A la Parmesana; con Pasta en salsa blanca y Ensalada de papa;Pollo A la Parmesana  con Pasta en salsa blanca y Ensalada de papa
239;2025-08-24;Pollo;A la Parmesana; con Pasta en salsa blanca y Ensalada de repollo con zanahoria;Pollo A la Parmesana  con Pasta en salsa blanca y Ensalada de repollo con zanahoria
240;2025-08-24;Pollo;A la Parmesana; con Pasta en salsa blanca y Tajadas;Pollo A la Parmesana  con Pasta en salsa blanca y Tajadas
241;2025-08-24;Pollo;A la Parmesana; con Pasta en salsa blanca y Brochettas de tomate;Pollo A la Parmesana  con Pasta en salsa blanca y Brochettas de tomate
242;2025-08-24;Pollo;A la Parmesana; con Pasta en salsa blanca y Pan de ajo;Pollo A la Parmesana  con Pasta en salsa blanca y Pan de ajo
243;2025-08-24;Pollo;A la Parmesana; con Pasta en salsa blanca;Pollo A la Parmesana  con Pasta en salsa blanca
244;2025-08-24;Pollo;Apanado; con Arroz blanco y Ensalada de papa;Pollo Apanado  con Arroz blanco y Ensalada de papa
245;2025-08-24;Pollo;Apanado; con Arroz blanco y Ensalada de repollo con zanahoria;Pollo Apanado  con Arroz blanco y Ensalada de repollo con zanahoria
246;2025-08-24;Pollo;Apanado; con Arroz blanco y Tajadas;Pollo Apanado  con Arroz blanco y Tajadas
247;2025-08-24;Pollo;Apanado; con Arroz blanco;Pollo Apanado  con Arroz blanco
248;2025-08-24;Pollo;Apanado; con Arroz con maíz y Ensalada de papa;Pollo Apanado  con Arroz con maíz y Ensalada de papa
249;2025-08-24;Pollo;Apanado; con Arroz con maíz y Ensalada de repollo con zanahoria;Pollo Apanado  con Arroz con maíz y Ensalada de repollo con zanahoria
250;2025-08-24;Pollo;Apanado; con Arroz con maíz y Tajadas;Pollo Apanado  con Arroz con maíz y Tajadas
251;2025-08-24;Pollo;Apanado; con Arroz con maíz;Pollo Apanado  con Arroz con maíz
252;2025-08-24;Pollo;Apanado; con Arroz con guandú y Ensalada de papa;Pollo Apanado  con Arroz con guandú y Ensalada de papa
253;2025-08-24;Pollo;Apanado; con Arroz con guandú y Ensalada de repollo con zanahoria;Pollo Apanado  con Arroz con guandú y Ensalada de repollo con zanahoria
254;2025-08-24;Pollo;Apanado; con Arroz con guandú y Tajadas;Pollo Apanado  con Arroz con guandú y Tajadas
255;2025-08-24;Pollo;Apanado; con Arroz con guandú;Pollo Apanado  con Arroz con guandú
256;2025-08-24;Pollo;Apanado; con Arroz con lentejas y Ensalada de papa;Pollo Apanado  con Arroz con lentejas y Ensalada de papa
257;2025-08-24;Pollo;Apanado; con Arroz con lentejas y Ensalada de repollo con zanahoria;Pollo Apanado  con Arroz con lentejas y Ensalada de repollo con zanahoria
258;2025-08-24;Pollo;Apanado; con Arroz con lentejas y Tajadas;Pollo Apanado  con Arroz con lentejas y Tajadas
259;2025-08-24;Pollo;Apanado; con Arroz con lentejas;Pollo Apanado  con Arroz con lentejas
260;2025-08-24;Pollo;Apanado; con Arroz verde y Ensalada de papa;Pollo Apanado  con Arroz verde y Ensalada de papa
261;2025-08-24;Pollo;Apanado; con Arroz verde y Ensalada de repollo con zanahoria;Pollo Apanado  con Arroz verde y Ensalada de repollo con zanahoria
262;2025-08-24;Pollo;Apanado; con Arroz verde y Tajadas;Pollo Apanado  con Arroz verde y Tajadas
263;2025-08-24;Pollo;Apanado; con Arroz verde;Pollo Apanado  con Arroz verde
264;2025-08-24;Pollo;Apanado; con Puré de papas y Ensalada de papa;Pollo Apanado  con Puré de papas y Ensalada de papa
265;2025-08-24;Pollo;Apanado; con Puré de papas y Tajadas;Pollo Apanado  con Puré de papas y Tajadas
266;2025-08-24;Pollo;Apanado; con Puré de papas;Pollo Apanado  con Puré de papas
267;2025-08-24;Pollo;Apanado; con Papas fritas y Ensalada de papa;Pollo Apanado  con Papas fritas y Ensalada de papa
268;2025-08-24;Pollo;Apanado; con Papas fritas y Ensalada de repollo con zanahoria;Pollo Apanado  con Papas fritas y Ensalada de repollo con zanahoria
269;2025-08-24;Pollo;Apanado; con Papas fritas y Tajadas;Pollo Apanado  con Papas fritas y Tajadas
270;2025-08-24;Pollo;Apanado; con Papas fritas;Pollo Apanado  con Papas fritas
271;2025-08-24;Pollo;Apanado; con Papas asadas y Ensalada de papa;Pollo Apanado  con Papas asadas y Ensalada de papa
272;2025-08-24;Pollo;Apanado; con Papas asadas y Ensalada de repollo con zanahoria;Pollo Apanado  con Papas asadas y Ensalada de repollo con zanahoria
273;2025-08-24;Pollo;Apanado; con Papas asadas y Tajadas;Pollo Apanado  con Papas asadas y Tajadas
274;2025-08-24;Pollo;Apanado; con Papas asadas;Pollo Apanado  con Papas asadas
275;2025-08-24;Pollo;Apanado; con Patacones y Ensalada de papa;Pollo Apanado  con Patacones y Ensalada de papa
276;2025-08-24;Pollo;Apanado; con Patacones y Ensalada de repollo con zanahoria;Pollo Apanado  con Patacones y Ensalada de repollo con zanahoria
277;2025-08-24;Pollo;Apanado; con Patacones y Tajadas;Pollo Apanado  con Patacones y Tajadas
278;2025-08-24;Pollo;Apanado; con Patacones;Pollo Apanado  con Patacones
279;2025-08-24;Pollo;a la Plancha; con Arroz blanco y Ensalada de papa;Pollo a la Plancha  con Arroz blanco y Ensalada de papa
280;2025-08-24;Pollo;a la Plancha; con Arroz blanco y Ensalada de repollo con zanahoria;Pollo a la Plancha  con Arroz blanco y Ensalada de repollo con zanahoria
281;2025-08-24;Pollo;a la Plancha; con Arroz blanco y Tajadas;Pollo a la Plancha  con Arroz blanco y Tajadas
282;2025-08-24;Pollo;a la Plancha; con Arroz blanco;Pollo a la Plancha  con Arroz blanco
283;2025-08-24;Pollo;a la Plancha; con Arroz con maíz y Ensalada de papa;Pollo a la Plancha  con Arroz con maíz y Ensalada de papa
284;2025-08-24;Pollo;a la Plancha; con Arroz con maíz y Ensalada de repollo con zanahoria;Pollo a la Plancha  con Arroz con maíz y Ensalada de repollo con zanahoria
285;2025-08-24;Pollo;a la Plancha; con Arroz con maíz y Tajadas;Pollo a la Plancha  con Arroz con maíz y Tajadas
286;2025-08-24;Pollo;a la Plancha; con Arroz con maíz;Pollo a la Plancha  con Arroz con maíz
287;2025-08-24;Pollo;a la Plancha; con Arroz con guandú y Ensalada de papa;Pollo a la Plancha  con Arroz con guandú y Ensalada de papa
288;2025-08-24;Pollo;a la Plancha; con Arroz con guandú y Ensalada de repollo con zanahoria;Pollo a la Plancha  con Arroz con guandú y Ensalada de repollo con zanahoria
289;2025-08-24;Pollo;a la Plancha; con Arroz con guandú y Tajadas;Pollo a la Plancha  con Arroz con guandú y Tajadas
290;2025-08-24;Pollo;a la Plancha; con Arroz con guandú;Pollo a la Plancha  con Arroz con guandú
291;2025-08-24;Pollo;a la Plancha; con Arroz con lentejas y Ensalada de papa;Pollo a la Plancha  con Arroz con lentejas y Ensalada de papa
292;2025-08-24;Pollo;a la Plancha; con Arroz con lentejas y Ensalada de repollo con zanahoria;Pollo a la Plancha  con Arroz con lentejas y Ensalada de repollo con zanahoria
293;2025-08-24;Pollo;a la Plancha; con Arroz con lentejas y Tajadas;Pollo a la Plancha  con Arroz con lentejas y Tajadas
294;2025-08-24;Pollo;a la Plancha; con Arroz con lentejas;Pollo a la Plancha  con Arroz con lentejas
295;2025-08-24;Pollo;a la Plancha; con Arroz verde y Ensalada de papa;Pollo a la Plancha  con Arroz verde y Ensalada de papa
296;2025-08-24;Pollo;a la Plancha; con Arroz verde y Ensalada de repollo con zanahoria;Pollo a la Plancha  con Arroz verde y Ensalada de repollo con zanahoria
297;2025-08-24;Pollo;a la Plancha; con Arroz verde y Tajadas;Pollo a la Plancha  con Arroz verde y Tajadas
298;2025-08-24;Pollo;a la Plancha; con Arroz verde;Pollo a la Plancha  con Arroz verde
299;2025-08-24;Pollo;a la Plancha; con Puré de papas y Ensalada de papa;Pollo a la Plancha  con Puré de papas y Ensalada de papa
300;2025-08-24;Pollo;a la Plancha; con Puré de papas y Tajadas;Pollo a la Plancha  con Puré de papas y Tajadas
301;2025-08-24;Pollo;a la Plancha; con Puré de papas;Pollo a la Plancha  con Puré de papas
302;2025-08-24;Pollo;a la Plancha; con Papas fritas y Ensalada de papa;Pollo a la Plancha  con Papas fritas y Ensalada de papa
303;2025-08-24;Pollo;a la Plancha; con Papas fritas y Ensalada de repollo con zanahoria;Pollo a la Plancha  con Papas fritas y Ensalada de repollo con zanahoria
304;2025-08-24;Pollo;a la Plancha; con Papas fritas y Tajadas;Pollo a la Plancha  con Papas fritas y Tajadas
305;2025-08-24;Pollo;a la Plancha; con Papas fritas;Pollo a la Plancha  con Papas fritas
306;2025-08-24;Pollo;a la Plancha; con Papas asadas y Ensalada de papa;Pollo a la Plancha  con Papas asadas y Ensalada de papa
307;2025-08-24;Pollo;a la Plancha; con Papas asadas y Ensalada de repollo con zanahoria;Pollo a la Plancha  con Papas asadas y Ensalada de repollo con zanahoria
308;2025-08-24;Pollo;a la Plancha; con Papas asadas y Tajadas;Pollo a la Plancha  con Papas asadas y Tajadas
309;2025-08-24;Pollo;a la Plancha; con Papas asadas;Pollo a la Plancha  con Papas asadas
310;2025-08-24;Pollo;a la Plancha; con Patacones y Ensalada de papa;Pollo a la Plancha  con Patacones y Ensalada de papa
311;2025-08-24;Pollo;a la Plancha; con Patacones y Ensalada de repollo con zanahoria;Pollo a la Plancha  con Patacones y Ensalada de repollo con zanahoria
312;2025-08-24;Pollo;a la Plancha; con Patacones y Tajadas;Pollo a la Plancha  con Patacones y Tajadas
313;2025-08-24;Pollo;a la Plancha; con Patacones;Pollo a la Plancha  con Patacones
314;2025-08-24;Cerdo;Agridulce; con Arroz blanco y Ensalada de papa;Cerdo Agridulce  con Arroz blanco y Ensalada de papa
315;2025-08-24;Cerdo;Agridulce; con Arroz blanco y Ensalada de repollo con zanahoria;Cerdo Agridulce  con Arroz blanco y Ensalada de repollo con zanahoria
316;2025-08-24;Cerdo;Agridulce; con Arroz blanco y Tajadas;Cerdo Agridulce  con Arroz blanco y Tajadas
317;2025-08-24;Cerdo;Agridulce; con Arroz blanco;Cerdo Agridulce  con Arroz blanco
318;2025-08-24;Cerdo;Agridulce; con Arroz con maíz y Ensalada de papa;Cerdo Agridulce  con Arroz con maíz y Ensalada de papa
319;2025-08-24;Cerdo;Agridulce; con Arroz con maíz y Ensalada de repollo con zanahoria;Cerdo Agridulce  con Arroz con maíz y Ensalada de repollo con zanahoria
320;2025-08-24;Cerdo;Agridulce; con Arroz con maíz y Tajadas;Cerdo Agridulce  con Arroz con maíz y Tajadas
321;2025-08-24;Cerdo;Agridulce; con Arroz con maíz;Cerdo Agridulce  con Arroz con maíz
322;2025-08-24;Cerdo;Agridulce; con Arroz con guandú y Ensalada de papa;Cerdo Agridulce  con Arroz con guandú y Ensalada de papa
323;2025-08-24;Cerdo;Agridulce; con Arroz con guandú y Ensalada de repollo con zanahoria;Cerdo Agridulce  con Arroz con guandú y Ensalada de repollo con zanahoria
324;2025-08-24;Cerdo;Agridulce; con Arroz con guandú y Tajadas;Cerdo Agridulce  con Arroz con guandú y Tajadas
325;2025-08-24;Cerdo;Agridulce; con Arroz con guandú;Cerdo Agridulce  con Arroz con guandú
326;2025-08-24;Cerdo;Agridulce; con Arroz con lentejas y Ensalada de papa;Cerdo Agridulce  con Arroz con lentejas y Ensalada de papa
327;2025-08-24;Cerdo;Agridulce; con Arroz con lentejas y Ensalada de repollo con zanahoria;Cerdo Agridulce  con Arroz con lentejas y Ensalada de repollo con zanahoria
328;2025-08-24;Cerdo;Agridulce; con Arroz con lentejas y Tajadas;Cerdo Agridulce  con Arroz con lentejas y Tajadas
329;2025-08-24;Cerdo;Agridulce; con Arroz con lentejas;Cerdo Agridulce  con Arroz con lentejas
330;2025-08-24;Cerdo;Agridulce; con Arroz verde y Ensalada de papa;Cerdo Agridulce  con Arroz verde y Ensalada de papa
331;2025-08-24;Cerdo;Agridulce; con Arroz verde y Ensalada de repollo con zanahoria;Cerdo Agridulce  con Arroz verde y Ensalada de repollo con zanahoria
332;2025-08-24;Cerdo;Agridulce; con Arroz verde y Tajadas;Cerdo Agridulce  con Arroz verde y Tajadas
333;2025-08-24;Cerdo;Agridulce; con Arroz verde;Cerdo Agridulce  con Arroz verde
334;2025-08-24;Cerdo;Agridulce; con Puré de papas y Ensalada de papa;Cerdo Agridulce  con Puré de papas y Ensalada de papa
335;2025-08-24;Cerdo;Agridulce; con Puré de papas y Tajadas;Cerdo Agridulce  con Puré de papas y Tajadas
336;2025-08-24;Cerdo;Agridulce; con Puré de papas;Cerdo Agridulce  con Puré de papas
337;2025-08-24;Cerdo;Agridulce; con Papas fritas y Ensalada de papa;Cerdo Agridulce  con Papas fritas y Ensalada de papa
338;2025-08-24;Cerdo;Agridulce; con Papas fritas y Ensalada de repollo con zanahoria;Cerdo Agridulce  con Papas fritas y Ensalada de repollo con zanahoria
339;2025-08-24;Cerdo;Agridulce; con Papas fritas y Tajadas;Cerdo Agridulce  con Papas fritas y Tajadas
340;2025-08-24;Cerdo;Agridulce; con Papas fritas;Cerdo Agridulce  con Papas fritas
341;2025-08-24;Cerdo;Agridulce; con Papas asadas y Ensalada de papa;Cerdo Agridulce  con Papas asadas y Ensalada de papa
342;2025-08-24;Cerdo;Agridulce; con Papas asadas y Ensalada de repollo con zanahoria;Cerdo Agridulce  con Papas asadas y Ensalada de repollo con zanahoria
343;2025-08-24;Cerdo;Agridulce; con Papas asadas y Tajadas;Cerdo Agridulce  con Papas asadas y Tajadas
344;2025-08-24;Cerdo;Agridulce; con Papas asadas;Cerdo Agridulce  con Papas asadas
345;2025-08-24;Cerdo;Agridulce; con Patacones y Ensalada de papa;Cerdo Agridulce  con Patacones y Ensalada de papa
346;2025-08-24;Cerdo;Agridulce; con Patacones y Ensalada de repollo con zanahoria;Cerdo Agridulce  con Patacones y Ensalada de repollo con zanahoria
347;2025-08-24;Cerdo;Agridulce; con Patacones y Tajadas;Cerdo Agridulce  con Patacones y Tajadas
348;2025-08-24;Cerdo;Agridulce; con Patacones;Cerdo Agridulce  con Patacones
349;2025-08-24;Cerdo;Guisado; con Arroz blanco y Ensalada de papa;Cerdo Guisado  con Arroz blanco y Ensalada de papa
350;2025-08-24;Cerdo;Guisado; con Arroz blanco y Ensalada de repollo con zanahoria;Cerdo Guisado  con Arroz blanco y Ensalada de repollo con zanahoria
351;2025-08-24;Cerdo;Guisado; con Arroz blanco y Tajadas;Cerdo Guisado  con Arroz blanco y Tajadas
352;2025-08-24;Cerdo;Guisado; con Arroz blanco;Cerdo Guisado  con Arroz blanco
353;2025-08-24;Cerdo;Guisado; con Arroz con maíz y Ensalada de papa;Cerdo Guisado  con Arroz con maíz y Ensalada de papa
354;2025-08-24;Cerdo;Guisado; con Arroz con maíz y Ensalada de repollo con zanahoria;Cerdo Guisado  con Arroz con maíz y Ensalada de repollo con zanahoria
355;2025-08-24;Cerdo;Guisado; con Arroz con maíz y Tajadas;Cerdo Guisado  con Arroz con maíz y Tajadas
356;2025-08-24;Cerdo;Guisado; con Arroz con maíz;Cerdo Guisado  con Arroz con maíz
357;2025-08-24;Cerdo;Guisado; con Arroz con guandú y Ensalada de papa;Cerdo Guisado  con Arroz con guandú y Ensalada de papa
358;2025-08-24;Cerdo;Guisado; con Arroz con guandú y Ensalada de repollo con zanahoria;Cerdo Guisado  con Arroz con guandú y Ensalada de repollo con zanahoria
359;2025-08-24;Cerdo;Guisado; con Arroz con guandú y Tajadas;Cerdo Guisado  con Arroz con guandú y Tajadas
360;2025-08-24;Cerdo;Guisado; con Arroz con guandú;Cerdo Guisado  con Arroz con guandú
361;2025-08-24;Cerdo;Guisado; con Arroz con lentejas y Ensalada de papa;Cerdo Guisado  con Arroz con lentejas y Ensalada de papa
362;2025-08-24;Cerdo;Guisado; con Arroz con lentejas y Ensalada de repollo con zanahoria;Cerdo Guisado  con Arroz con lentejas y Ensalada de repollo con zanahoria
363;2025-08-24;Cerdo;Guisado; con Arroz con lentejas y Tajadas;Cerdo Guisado  con Arroz con lentejas y Tajadas
364;2025-08-24;Cerdo;Guisado; con Arroz con lentejas;Cerdo Guisado  con Arroz con lentejas
365;2025-08-24;Cerdo;Guisado; con Arroz verde y Ensalada de papa;Cerdo Guisado  con Arroz verde y Ensalada de papa
366;2025-08-24;Cerdo;Guisado; con Arroz verde y Ensalada de repollo con zanahoria;Cerdo Guisado  con Arroz verde y Ensalada de repollo con zanahoria
367;2025-08-24;Cerdo;Guisado; con Arroz verde y Tajadas;Cerdo Guisado  con Arroz verde y Tajadas
368;2025-08-24;Cerdo;Guisado; con Arroz verde;Cerdo Guisado  con Arroz verde
369;2025-08-24;Cerdo;Guisado; con Puré de papas y Ensalada de papa;Cerdo Guisado  con Puré de papas y Ensalada de papa
370;2025-08-24;Cerdo;Guisado; con Puré de papas y Tajadas;Cerdo Guisado  con Puré de papas y Tajadas
371;2025-08-24;Cerdo;Guisado; con Puré de papas;Cerdo Guisado  con Puré de papas
372;2025-08-24;Cerdo;Guisado; con Papas fritas y Ensalada de papa;Cerdo Guisado  con Papas fritas y Ensalada de papa
373;2025-08-24;Cerdo;Guisado; con Papas fritas y Ensalada de repollo con zanahoria;Cerdo Guisado  con Papas fritas y Ensalada de repollo con zanahoria
374;2025-08-24;Cerdo;Guisado; con Papas fritas y Tajadas;Cerdo Guisado  con Papas fritas y Tajadas
375;2025-08-24;Cerdo;Guisado; con Papas fritas;Cerdo Guisado  con Papas fritas
376;2025-08-24;Cerdo;Guisado; con Papas asadas y Ensalada de papa;Cerdo Guisado  con Papas asadas y Ensalada de papa
377;2025-08-24;Cerdo;Guisado; con Papas asadas y Ensalada de repollo con zanahoria;Cerdo Guisado  con Papas asadas y Ensalada de repollo con zanahoria
378;2025-08-24;Cerdo;Guisado; con Papas asadas y Tajadas;Cerdo Guisado  con Papas asadas y Tajadas
379;2025-08-24;Cerdo;Guisado; con Papas asadas;Cerdo Guisado  con Papas asadas
380;2025-08-24;Cerdo;Guisado; con Patacones y Ensalada de papa;Cerdo Guisado  con Patacones y Ensalada de papa
381;2025-08-24;Cerdo;Guisado; con Patacones y Ensalada de repollo con zanahoria;Cerdo Guisado  con Patacones y Ensalada de repollo con zanahoria
382;2025-08-24;Cerdo;Guisado; con Patacones y Tajadas;Cerdo Guisado  con Patacones y Tajadas
383;2025-08-24;Cerdo;Guisado; con Patacones;Cerdo Guisado  con Patacones
384;2025-08-24;Cerdo;Costillita BBQ; con Arroz blanco y Ensalada de papa;Cerdo Costillita BBQ  con Arroz blanco y Ensalada de papa
385;2025-08-24;Cerdo;Costillita BBQ; con Arroz blanco y Ensalada de repollo con zanahoria;Cerdo Costillita BBQ  con Arroz blanco y Ensalada de repollo con zanahoria
386;2025-08-24;Cerdo;Costillita BBQ; con Arroz blanco y Tajadas;Cerdo Costillita BBQ  con Arroz blanco y Tajadas
387;2025-08-24;Cerdo;Costillita BBQ; con Arroz blanco;Cerdo Costillita BBQ  con Arroz blanco
388;2025-08-24;Cerdo;Costillita BBQ; con Arroz con maíz y Ensalada de papa;Cerdo Costillita BBQ  con Arroz con maíz y Ensalada de papa
389;2025-08-24;Cerdo;Costillita BBQ; con Arroz con maíz y Ensalada de repollo con zanahoria;Cerdo Costillita BBQ  con Arroz con maíz y Ensalada de repollo con zanahoria
390;2025-08-24;Cerdo;Costillita BBQ; con Arroz con maíz y Tajadas;Cerdo Costillita BBQ  con Arroz con maíz y Tajadas
391;2025-08-24;Cerdo;Costillita BBQ; con Arroz con maíz;Cerdo Costillita BBQ  con Arroz con maíz
392;2025-08-24;Cerdo;Costillita BBQ; con Arroz con guandú y Ensalada de papa;Cerdo Costillita BBQ  con Arroz con guandú y Ensalada de papa
393;2025-08-24;Cerdo;Costillita BBQ; con Arroz con guandú y Ensalada de repollo con zanahoria;Cerdo Costillita BBQ  con Arroz con guandú y Ensalada de repollo con zanahoria
394;2025-08-24;Cerdo;Costillita BBQ; con Arroz con guandú y Tajadas;Cerdo Costillita BBQ  con Arroz con guandú y Tajadas
395;2025-08-24;Cerdo;Costillita BBQ; con Arroz con guandú;Cerdo Costillita BBQ  con Arroz con guandú
396;2025-08-24;Cerdo;Costillita BBQ; con Arroz con lentejas y Ensalada de papa;Cerdo Costillita BBQ  con Arroz con lentejas y Ensalada de papa
397;2025-08-24;Cerdo;Costillita BBQ; con Arroz con lentejas y Ensalada de repollo con zanahoria;Cerdo Costillita BBQ  con Arroz con lentejas y Ensalada de repollo con zanahoria
398;2025-08-24;Cerdo;Costillita BBQ; con Arroz con lentejas y Tajadas;Cerdo Costillita BBQ  con Arroz con lentejas y Tajadas
399;2025-08-24;Cerdo;Costillita BBQ; con Arroz con lentejas;Cerdo Costillita BBQ  con Arroz con lentejas
400;2025-08-24;Cerdo;Costillita BBQ; con Arroz verde y Ensalada de papa;Cerdo Costillita BBQ  con Arroz verde y Ensalada de papa
401;2025-08-24;Cerdo;Costillita BBQ; con Arroz verde y Ensalada de repollo con zanahoria;Cerdo Costillita BBQ  con Arroz verde y Ensalada de repollo con zanahoria
402;2025-08-24;Cerdo;Costillita BBQ; con Arroz verde y Tajadas;Cerdo Costillita BBQ  con Arroz verde y Tajadas
403;2025-08-24;Cerdo;Costillita BBQ; con Arroz verde;Cerdo Costillita BBQ  con Arroz verde
404;2025-08-24;Cerdo;Costillita BBQ; con Puré de papas y Ensalada de papa;Cerdo Costillita BBQ  con Puré de papas y Ensalada de papa
405;2025-08-24;Cerdo;Costillita BBQ; con Puré de papas y Tajadas;Cerdo Costillita BBQ  con Puré de papas y Tajadas
406;2025-08-24;Cerdo;Costillita BBQ; con Puré de papas;Cerdo Costillita BBQ  con Puré de papas
407;2025-08-24;Cerdo;Costillita BBQ; con Papas fritas y Ensalada de papa;Cerdo Costillita BBQ  con Papas fritas y Ensalada de papa
408;2025-08-24;Cerdo;Costillita BBQ; con Papas fritas y Ensalada de repollo con zanahoria;Cerdo Costillita BBQ  con Papas fritas y Ensalada de repollo con zanahoria
409;2025-08-24;Cerdo;Costillita BBQ; con Papas fritas y Tajadas;Cerdo Costillita BBQ  con Papas fritas y Tajadas
410;2025-08-24;Cerdo;Costillita BBQ; con Papas fritas;Cerdo Costillita BBQ  con Papas fritas
411;2025-08-24;Cerdo;Costillita BBQ; con Papas asadas y Ensalada de papa;Cerdo Costillita BBQ  con Papas asadas y Ensalada de papa
412;2025-08-24;Cerdo;Costillita BBQ; con Papas asadas y Ensalada de repollo con zanahoria;Cerdo Costillita BBQ  con Papas asadas y Ensalada de repollo con zanahoria
413;2025-08-24;Cerdo;Costillita BBQ; con Papas asadas y Tajadas;Cerdo Costillita BBQ  con Papas asadas y Tajadas
414;2025-08-24;Cerdo;Costillita BBQ; con Papas asadas;Cerdo Costillita BBQ  con Papas asadas
415;2025-08-24;Cerdo;Costillita BBQ; con Patacones y Ensalada de papa;Cerdo Costillita BBQ  con Patacones y Ensalada de papa
416;2025-08-24;Cerdo;Costillita BBQ; con Patacones y Ensalada de repollo con zanahoria;Cerdo Costillita BBQ  con Patacones y Ensalada de repollo con zanahoria
417;2025-08-24;Cerdo;Costillita BBQ; con Patacones y Tajadas;Cerdo Costillita BBQ  con Patacones y Tajadas
418;2025-08-24;Cerdo;Costillita BBQ; con Patacones;Cerdo Costillita BBQ  con Patacones
419;2025-08-24;Cerdo;Costillita Orientales; con Arroz blanco y Ensalada de papa;Cerdo Costillita Orientales  con Arroz blanco y Ensalada de papa
420;2025-08-24;Cerdo;Costillita Orientales; con Arroz blanco y Ensalada de repollo con zanahoria;Cerdo Costillita Orientales  con Arroz blanco y Ensalada de repollo con zanahoria
421;2025-08-24;Cerdo;Costillita Orientales; con Arroz blanco y Tajadas;Cerdo Costillita Orientales  con Arroz blanco y Tajadas
422;2025-08-24;Cerdo;Costillita Orientales; con Arroz blanco;Cerdo Costillita Orientales  con Arroz blanco
423;2025-08-24;Cerdo;Costillita Orientales; con Arroz con maíz y Ensalada de papa;Cerdo Costillita Orientales  con Arroz con maíz y Ensalada de papa
424;2025-08-24;Cerdo;Costillita Orientales; con Arroz con maíz y Ensalada de repollo con zanahoria;Cerdo Costillita Orientales  con Arroz con maíz y Ensalada de repollo con zanahoria
425;2025-08-24;Cerdo;Costillita Orientales; con Arroz con maíz y Tajadas;Cerdo Costillita Orientales  con Arroz con maíz y Tajadas
426;2025-08-24;Cerdo;Costillita Orientales; con Arroz con maíz;Cerdo Costillita Orientales  con Arroz con maíz
427;2025-08-24;Cerdo;Costillita Orientales; con Arroz con guandú y Ensalada de papa;Cerdo Costillita Orientales  con Arroz con guandú y Ensalada de papa
428;2025-08-24;Cerdo;Costillita Orientales; con Arroz con guandú y Ensalada de repollo con zanahoria;Cerdo Costillita Orientales  con Arroz con guandú y Ensalada de repollo con zanahoria
429;2025-08-24;Cerdo;Costillita Orientales; con Arroz con guandú y Tajadas;Cerdo Costillita Orientales  con Arroz con guandú y Tajadas
430;2025-08-24;Cerdo;Costillita Orientales; con Arroz con guandú;Cerdo Costillita Orientales  con Arroz con guandú
431;2025-08-24;Cerdo;Costillita Orientales; con Arroz con lentejas y Ensalada de papa;Cerdo Costillita Orientales  con Arroz con lentejas y Ensalada de papa
